Review_title,Review_content
What A Mess! I Want My 2 Hours Back!,"This definitely wasn't what I expected. It started out good and I was thinking: All Right, Here we go. But that didn't last very long. Then it got so chaotic and scattered. It went everywhere and nowhere. Because you couldn't follow it in a meaningful way. I won't give any spoilers. I'll just say that I was highly disappointed. And once I got past the half-hour mark, I actually considered walking out. This film deserved a better script and a more appropriate director. Raimi wasn't the best choice for a Doctor Strange film. Other stuff he's directed, I love. But this was a Hot Mess!"
Unfortunate decline in story,
Terrible,"This was by far the worst marvel so far. The plot was all over the place bringing in all these characters that had no purpose. I wish they would just stop trying to create avengers within avengers, just ruins it."
Massively improves on a second viewing,
Oh boy its bad...,"Lets clarify: Of course all Marvel movies have great production and usually established actors and actresses, BUT.... After seeing a couple dozens now, the writing is just taking a nose dive, especially in this one.

There is not one memorable line or a joke or something in this movie. Its even emotionally dull and boring. You know pretty much what will happen form the start. The writing is lazy at best and for a 200 million dollar poduction or whatever it was its actually scandolously bad. I'm surprised the actors are not bored out of their minds with these kinda stupid dialogs.

The good you would ask? Spectactular CGI... and i mean really award winning type of stuff. The rest...belongs where your toilet is.

Its the same thing boiled up over and over like your last bad of green tea."
Greedy Disney's going to wreck our favorite movie franchises!,"They obviously believe in the ""quantity vs. Quality"" business theory, and seem quite content to continue pumping out these mediocre entries in the Marvel, Star Wars, and Pixar brands, until their formerly dedicated audiences finally cry ""enough!"", and just...walk away, shaking their collective heads at how sad it was, the day The Mouse bought the rights to these storied franchises. My only remaining hope is that they'll pump the breaks and not try to over saturate us with the two best remaining storylines - those being the wonderfully heart-filled Ant Man and Spider-Man series, which are the only ones (so far) they haven't managed to ruin. MFF/Honolulu 7-23-22."
One of the worst superhero movies out there,"Dr. Strange here was absolutely weak and cringy throughout. His forced jokes, same expressions and annoying SFX were too much to handle. There were some good action sequences, but it felt like the movie was made for under 14-year-olds as adults would've a hard time enjoying it. Yes, the multiverse theme was enticing, but a poor antagonist with a disappointing ending doesn't just cut it.

Dr. Strange doesn't feel like a superhero but a mediator. Not an enjoyable experience and dialogues were just awful."
Some Bald Guy Once Said: Keep Your Expectations Low and You Will Never Be Disappointed,"So thanks to watching some early reviews on YouTube saying this is more of a Doctor Strange and Wanda movie than a Multiverse movie, I adjusted my expectations and I enjoyed the movie thoroughly.

And you might say, ""well it's literally called Multiverse of Madness, how do you expect me not to expect a Multiverse from this movie"", which I agree with. I had the same expectation when I first heard about the name of the movie and saw the trailers. But trust me, the whole thing revolves around the Multiverse And there is a lot of Madness, but not in a way you're thinking of. Naming this movie Multiverse of Madness was a real double-edged sword and it really shows, by how people reacted to it.

First of all, I gotta say that this is probably the most different and unique movie of MCU, at least in the aesthetic department, or should I say the most different-looking. And you already know it's exactly because of Sam Raimi and the horror and creepy aspect he introduces in this movie. And I loved it!

About the runtime, I remember seeing people argue that 2 hours is not actually bad and Sam Raimi movies are always more or less 2 hours and we are the unreasonable ones to think 2 hours. And I and many others thought ""well how is a movie about the multiverse is gonna be only 2 hours? We need at least 3 hours"". Which weren't wrong, because after watching the movie I can say that it definitely needed at least 20 more minutes. The pacing is really on and off, it kinda lingers in some scenes and it fast-forwards in some scenes that needed more time, especially the ending. I think they just need to hire better writers because once again, this didn't ""feel"" a movie, it felt like an episode and a teaser to the real thing, but I still really enjoyed it and had fun with it.

And it is really weird too because the last movie they released was literally 2:28 hours and they've already seen that the longer runtime still sells like Infinity War and the 3-hour Endgame which are like in the top 5 of all time sellers in BoxOffice. I don't know why they cut scenes or why they didn't let some scenes linger more. Was it because of the writing? Then why not hire better writers or a team of writers like Markus and McFeely who knew what they were doing and gave us 4 decently written movies? I hope now that they're delving into the multiverse stuff, they actually get more creative writers and work on the script a lot more before releasing the movie.

It would be interesting to see a director's cut of the movie or even a Scott Derrickson version where he actually continued the first movie and not mainly WandaVision (which is an understandable problem people have with this), but we'll never see just like we'll never see Edgar Wright's Ant-Man. If I were in Feige's, I'd just go crazy with every movie and give 100% freedom to directors to make whatever tf they want and go nuts with it and have a different MCU next to the main one. And even now is the best time to do it, why not let Edgar Wright make an Ant-Man movie and call it something like What If Ant-Man...? This is the perfect opportunity for them to go crazy with the multiverse stuff, but I guess making movies is hard and expensive, but I doubt these movies won't sell. Just give directors full control and hire better writers and writing teams and the word of mouth and the good reviews do the rest, just like Everything Everywhere All at Once.

For people that are concerned about cameos and think this is gonna be a cameo galore and fanservice, don't worry. The cameos are fairly short, they are great and serve the plot, and are not just there just to be there, and they have some of the most brutal scenes I've seen from MCU. There was one particular scene that you know when you see it, that trod the line between PG-13 and R, and was so brutal that if you showed me the clip of it without context and without telling me anything, I would assume it was a scene from The Boys season 3. Yeah, that level of brutality!

Danny Elfman did the score and it fit the movie and the gothic vibe beautifully and there was a certain battle that I'm not gonna even hint at, but you'll know when you watch the movie, that was just audio-visual delight. I am a little disappointed and sad that they didn't use the amazing Doctor Strange theme Michael Giacchino did, and I think he would've done an amazing job if they kept him, but I guess Danny is Sam's blue-eyed boy. But the score is still good, just wish his iconic theme was used more in this movie.

The visuals were amazing too, although it still had some that looked really bad, and it seems like Marvel has been lacking with CGI in this phase more than before, even in the tv shows.

But the thing about the visuals is that even though they are great and a joy to witness, I kinda miss the reality-bending we got in the first movie and No Way Home, I wish they used it here too and went crazier with it.

And as for the direction, I gotta say it's pretty good and it's obvious Sam Raimi directed it as it has his fingerprint all over this movie and I loved it. It seems like Marvel is getting a little more open to having visionary directors take the helm and give them freedom. It's obvious that this movie is not given to Sam with 100 percent freedom, but I think they're getting a little bit better and I hope this freedom becomes bigger in the next projects. Sam Raimi does a great job with all the creepy, horror scenes, and the jump scares and this movie is more about witchcraft than it is about wizardry and spells. I really hope they keep doing these different genres and don't just stick to action-comedy as they've been for a long time. It's a breath of a fresh air seeing this being a different kind of superhero movie.

I also really liked that he actually used a good color grading and that the colors and environments are alive and that they don't look like another bland Marvel movie.

I don't think I need to talk about the acting because you already know they all do an amazing job. But surprisingly Wanda is the star of this movie and some people have a problem with that? I get that it's called Doctor Strange and this movie kinda lets Wanda outshine him, but did you also have a problem with Infinity War being more of a Thanos movie, or The Dark Knight is more of a Joker movie? I don't get that people say Doctor Strange had less things to do or even less cool things to do than Infinity War, because it felt to me that they both had more of or the same amount of screen-time and Doctor Strange had obviously more screen time.

And America Chavez is a really interesting and a great addition to the MCU and Xochitl Gomez did a good job of portraying her.

Some reviews said that Christine Palmer was again underutilized, which I guess? But I don't know what more they could've done with the fast pacing of this movie and I thought they did a decent job with Palmer anyway. Obviously, and as I said before, this movie could've benefited from some breathers and 20 extra minutes, but it was still fine.

We also get Ashley Williams of course! And Bruce Campbell is great as ever. You can't have a Sam Raimi movie without Ash!

I also heard some people say that they liked the first one better, which it's ok I guess? You could argue that the pacing of the first movie was better and Stephen Strange had a good development in there, but since the villain sucked in that movie, I cannot say that the first one is better. The villain and ""their"" motivation in this movie were far better in this movie, and I guess they had some movies and shows to get more development and it's kinda unfair to compare and say this one had more development because duh. But even if this was their first appearance, they still had a better motivation and were a better character anyway. (I'm using ""they"" to not spoil who the villain is but I think it's obvious for anyone who that is)

In conclusion, this movie might not be what you think is going to be, so manage your expectations. The acting is great, the direction and Sam Raimi's touch are great and so is the cinematography, the music is good but disappointingly there is little to no use of Doctor Strange's iconic theme, the villain is good, the visuals are great but it needed more visuals and reality-bending from the first one, the horror aspect is fine and gives a fresh look to the MCU, but it's ultimately rushed, the pacing needed some work and needed extra time. I also forgot to say that there are some loose ends left from the first movie that they didn't deal with for some reason and it's not really a continuation of Doctor Strange as it is more a continuation of WandaVision, and in that case, people are kinda right if they think this wasn't that much of a Doctor Strange movie and more Wanda's.

Maybe I'm just a little carried away and I'm giving it an 8 impulsively, and I am doing it as I've done times before, and watching it a second time will show me its flaws better, and yeah it's not a full 8/10 but more like a 7.5 leaning towards 8 and I liked this one more than the first one.

Update: Watched it a second time and I think I like it a little less and noticed more problems with it, but I still like it, so I'm changing it to a 7 here."
Utterly disappointed,
A Puzzle No One Cares To Solve,"Oh director Sam Raimi is up to his ""Army Of Darkness"" ways. What with the cameos from Bruce Campbell, a spell book, slapstick snap zooms at canted angles and the Pontiac Delta 88 hovering in a muddled universe. This is a very sloppy slapping together of an intricate storyline of wish fulfillment...if only the bad gal wasn't so into being...a mother? Yeah, that is at the core of the conflict. Wanda the Witch (Elizabeth Olsen) wants the life of domestication versus being shunned as a witch in her own world. Therefore, she must harness the power of a teenager who has this gift.

Okay.

Unfortunately, what she also has IS the power to live the other woman's life (it's really her, if you think about it) in small doses. And only if she uses some spell book. Who knows. The entire thing is this dense. Meanwhile, Doc Strange (Benedict Cumberbatch) is lamenting about his own life. Losing Christine (Rachel McAdams) to a different suitor because it would be safer for her. Such is the life of comic book heroes. A tired trope actually. So he is saddled with that question...in any other universe, would he end up with the love of his life. I shrug here, because all of this is really inconsequential since it never is addressed in the movie anyway. And they have the chemistry of a brother and sister. So I don't get her appeal.

Yeah, I think this is an above average flick. Only because I do miss the old Raimi style. This brought back those memories. Other than that, I found myself dozing at parts. The special effects, while really well done, are oftentimes nauseating. Anyone with vertigo should be warned. And, well, it seemed very empty when all was said and done.

To me, the multiverse is a fascinating question. One that was wonderfully realized in ""Everything, Everywhere And All At Once"" Here it seems to be a non-issue. And it aggravated me that in every universe they visit, it seems this crew don't address the chaos and mayhem they inflict on the people of the city. I mean, some of the damage to property should closed the city down. In this film, you see teen America Chavez (Xochitl Gomez) eat a torta a scene later. Ugh.

The biggest nagging thought is how unnecessary this installment was. Why? Why was this made? Made no sense in the grander future schemes. Perhaps Marvel nerds can answer this.

It is also much more adult. Which was a pleasant surprise. I can tell that the kids who went to see this got very lost. Their silence said it all. And for that, I am grateful."
The worst marvel movie to date,"Fell asleep multiple times through this mess. Seemed low budget with cheap fx. Bad green screen throughout the entire movie. The character ""America"" is very unlikeable. Her bad acting from her annoying screaming, and her same annoying expression the whole movie. She shouldn't of been casted. Hopefully she's a one off because she has no on screen presence. Stupid ""woke"" trash in the movie. Pride flag pin on her jacket and she has 2 lesbian mothers. Like give me a break Disney.... Glad I didn't watch this trash in theatres."
What an absolute let-down,
"Doctor Strange in the Multiverse of Mundane Mediocrity, More like.","The Good: Literally ONLY the 1st 40 minutes, fantasy gore and violence, morally ambiguous characters, and cameo appearances.

The Bad: Unnecessarily Woke AF, paper-thin plot, and tame family-friendly horror (More ""The Addams Family"" than ""The Evil Dead"", but for a PG-13 it could have done with more surrealist visuals, like Mysterio's nightmarish illusion sequence in ""Spiderman: Far From Home"").

The Verdict: After a promising 1st act, this film descends into what is essentially a triple-bill of WandaVision episodes (The price you pay for seeing a theatrical feature written by a TV writer is you pay for a TV movie). It just feels flat and a missed opportunity for both Raimi and Marvel. Not a patch on the 1st ""Doctor Strange"", and nowhere near as cinematic. Hell, even season 2 of CW's ""The Flash"" handled the Multiverse better. Way better. And no, I'm not biased-- I gave ""The Batman"" 1/10. Both films are awful. This is marginally more entertaining."
A Seriously Superb and Creative Concept Executed Blandly,"Sometimes alike but also usually unalike most of the Avengers superhero movies in the MCU, Doctor Strange in the Multiverse of Madness is a giant mess. It's especially disappointing since its 2016 predecessor was surprisingly a blast; it featured a talented neurosurgeon who lost the ability to use his hands properly after a car crash, following towards some solid drama and his entertaining journey to becoming a superhero. The Multiverse of Madness understandably isn't that, and shouldn't just be a sequel that watches the first film before its new story, but its just too chaotic.

You would probably find the film a lot more enjoyable if you properly read and understood what it was actually about, because the trailer was just convoluted and the film is actually about Doctor Strange opening a portal to the multiverse that includes alternate versions of himself, other people and lifestyle. Even for a 2 hour movie, this film feels very rushed, overly pacy and it just ends up convoluted in the way the multiverse works and what happens. It's definitely entertaining and really engages you, but you probably need to go and break down the story to understand it.

The action battle between Doctor Strange and the octopus-alien monster really gets you engaged, but all of the action is very loud and too rushed. It's alike Marvel movies for using the same predictable basis Marvel creates for superheroes, meaning big fans of Marvel will probably really enjoy it. This movie mostly deserves points for its new characters and the whole idea of Doctor Strange entering the multiverse (of madness). The characters are executed well and wisely use the talents of a brilliant cast, but the concept is just too rushed and could use some times to stop and take a breath. It's also worth noting that Sam Raimi uses lots of horror scenes and jump-scares throughout this movie, so it's much scarier than other Marvel blockbusters.

If you liked this review, check out the full review and other reviews at aussieboyreviews."
ugh,Same old boring story the first one had something different but this one is just dark with terrible marvel jokes can't believe i wasted money on this trash this movie doesn't deserves review it is that level of crap and garbage.
A movie that does what many don't,
Buried my fandom in a shallow grave,"Garbage movie with no redeeming qualities. About as subtle as a Michael Bay film, with none of the plot intricacies. Wastes Wanda Maximoff's years of character development. Only one of three movies I've ever wanted to walk out of."
Does this film belong to Dr. Strange? NO!,"The main story, being quite absurd and ordinary, focuses so much on Wanda and America that Dr. Strange ""strangely"" gets sandwiched in between them. It almost feels you are watching a Wanda film rather than a Dr. Strange film. This was a huge negative as he leaves barely any impact. Majority of the impact is left by Wanda only who puts up a near Civil war like situation with Strange.

This is a VFX heavy film. Lots and lots and lots of special effects like any other Marvel film but here, to mask the poor story has been used. It is only this that make the film enjoyable. Often certain fight sequences also make the film enjoyable. Humor also works wherever present.

Overall, watch only if you are a die hard follower of marvel series (both films amd web series). If not, then Requesting not to watch just due to peer pressure as many things will go above your head and you will only end up enjoying the vfx nothing else."
Profit mongers,I'm glad only have one cineworld unlimited card for both of us to use with 2-1 movies. Every time a Marvel film comes out they bin everything else to maximise profit. Was Nic Cage film I wanted to see but gone after 1 week.oh yeah the film boring.zzz.
Should we call for #ReleaseTheRaimiCut?,"I don't know, man. The movie felt like a 126 minutes long teaser for... something. They should've let Sam Raimi do his thing and release the actual cut of the film. Raimi himself said his version was around 160 minutes, which is necessary for a movie of this scope.

This is why I think the MCU should've hit the brakes after Avengers: Endgame. I know it was a bit disappointing, but was an ending nonetheless. Not every single Marvel comic book out there has be filmed."
Don't worry spoilers won't spoil this movie,
This is a mess (I did like the first Dr. Strange movie),"The evolution of the superhero movie. Things started out with the original Superman and Batman movies. Then came the Marvel and DC universes.

Now this is where we are at. Take a few well known characters and just throw everything into the sfx stew and stir it up. Super Smash Bros. On nonstop steroids and meth. Jackson Pollock would say this is too much.

It is time for a superhero mass extinction event."
I doubt this a marvel movie,
A very 'Meh' movie,"It had some really cheesy parts in the script. Ended poorly, was built up to be amazing, it wasn't. It had some great jump scares though. Go in to the film with no expectations on cameos, you will be disappointed."
Is this a parody?... So embarrassing,Wtf?... This is like a generic superhero movie that was made before 2010...wake up Sam Raimi.. It's not 2005 anymore.. Superhero movies didn't come up just yesterday.. I can't believe this is a phase 4 marvel movie.. And what's up with marvel after Endgame?.. After the cheap eternals movie..the snooze-fest called Spiderman NWH.. A bunch of mediocre streaming shows.. And now this !... Marvel is just selling out at this point...the MCU is dying...
Little bit of nothing,
Wrong title,"This movie has the worst title ever, even though the plot manages to be compelling.

Misleading title aside, the story of this movie manages to be compelling, especially in the second act, which is amazing being totally different from anything Marvel has done in the past, this second act is terrifying and very shocking, but the third act ends up being the worst of the film, it doesn't even seem like it's a Doctor Strange movie, and there's an emotional moment that doesn't go deep, something that a previous Marvel production already did. The main character doesn't manage to have a change to what we've seen before, the new characters don't impact much, but the cameos are amazing. The special effects are good most of the time and the photography manages to give us good shots in action scenes.

It complies as a superhero movie by giving us something different from what Marvel has accustomed us to, despite its not-so-surprising script, but at a certain point the third act ruins the intentions of this movie, it is a passable and enjoyable movie to distract you."
"Forget the ""cinema"" debate - this barely felt like a movie","How is it possible to be overstimulated and bored at the same time? There are glimpses of fun - some visuals, Raimi camera work, Benedict is good as usual - but at no point did I connect to characters or feel like stuff wasn't just being made up as it went along. Why is Wanda in this? Why does strange trust her at all? Why did the Illuminati scene feel like an advert for highly detailed adult ""action figures""? Is this what we get excited about now, casting and licensing? Bad."
Sam Raimi Doing What He Does Best,"While this film has a more grim tone than its predecessors it's still a Marvel film at heart. Of course it would take Sam Raimi to find the perfect blend of comic-book-movie, horror, fantasy and slapstick. He might be working with a massive budget now, but the man stays true to his roots and sticking with what he knows pays off.

The pacing may seem disjointed or fragmented at times, but I feel that only reflects the complex nature of the multiverse within the film. Maybe it's not like other groundbreaking MCU films, but ultimately this is an entertaining feature."
"Odds are this movie has a much better story in other universes, oh, and of course, the food is free!","It's not that I don't like Doctor Strange, I loved the first movie and his appearances in other films, but this I didn't enjoy at all. Directing was not the issue, acting wasn't the best, but again not the problem, it was clearly the script. As a fan of Wandavision it didn't even deliver on that front. Like others have said, I was expecting a whole lot more multiverse and less madness. Halfway through I thought maybe the ending would save it for me, it did not. I hate to say it but I think it's a pass, I would MUCH rather sit through Morbius again. I think they wasted an opportunity to make an amazing multiverse movie, opening alternative paths to future movies and TV series. Disappointing."
Really disappointing,"No character development, weak plot and cheesy dialogue. A big disappointment overall. They did Scarlet Witch dirty when the arch had so much potential. Her motives were just not convincing. The whole story is overdone and Marvel could have done something much more unique. Trash."
Marvel meets 80s style horror,"This won't be a fan favourite but mixing the marvel cinema experience with a splash of ""old school"" horror hit the target for me.

It's weird, but id go as far as saying that a marvel movie was the best horror flick I've seen in over a decade.

Dark, creepy and visually epic.

The plot was pretty basic, but i had fun watching.

I like that they're mixing it up."
Darkest marvel movie yet!,"Whatever your thoughts are about Marvel you have to give them credit for their worldbuilding and character development. Wanda and Dr. Strange are both very unique and gray characters which makes them fun. The actors also do a great job portraying their characters.

Marvel has never been this dark before. I'm honestly surprised it hasn't got a higher age limit. But it's great with darker content. Marvel has for a long time felt too childish but this feels more real and got a stronger effect.

The multiverse is a very confusing subject and it can ruin movies, but it can also make them more fun. This movie did a good job not making it too confusing while also utilizing it and creating fun fanservice.

Like the previous Doctor Strange movie, the visual effects are spectacular and breathtaking. There are some scenes which are not quite as believable but it doesn't take the viewer out of the movie.

The problem with these powerful magic characters is that they are too overpowered. There's a lot of plot armor, but it's almost impossible to avoid when you're playing with these powerful heroes. The magic can be a bit convoluted at times, but just remind yourself that it's a movie. Don't try poke holes at every plothole or stupid decision. Just have fun because it's a fun movie."
"The first MCU project that manages to break free from the ""Marvel formula""",
Felt more like Disney +,
I really wanted to like this movie but....,
Multi-waste of time and talent,"Here we go into the multi-verse! A note that will effort my review of this movie... I gave up comics when the multi-verse first showed up from the look and feel of this more noise than story, I will probably do the same with Marvel/DC movies now that that seal has been broken. Love Cumberbatch, Wong, and will watch Ejotor anytime but pretty much done with twin. Nice scenery as always, hated the musical fight (very Disney), the Capt. P. - Fantastic 4 scene ridiculous waste of time and talent. All in all this movie will not be add to my collections... not ever as a bad example of a series ran dry of story and wide on special effects."
Unbearable and Forgettable. I could've done better,"Literally the moment I left the theater I tried to reconcile at least one scene but I couldn't. This is a blatant cash grab that has no business being made. Sam Raimi is, if we're all being honest, a terrible director and this is by far at his worst. Again, I cannot visualize, quote, or remember a scene from this trash.

I'm not even trolling or whatever. This is perhaps the worst movie ever made. ALL of the sets and characters are just these same ugly CGI meshes exactly like literally every other Marvel movie.

There is genuinely nothing appealing or good about this. Again, this movie is probably like 98% animated, but the animation is the exact same disgusting fantasy-real life hybrid garbage. I will not be seeing another Marvel movie in the future, theyre all the exact same yet critics and especially audiences just eat it up like candy."
"Oh, Wicked Wanda & Somewhat Doctor Strange",
WOW THIS WAS TRASH,"Ok DISNEY..... I am offically done with you. Selling my stock in your company too. You have DESTROYED the Marvel universe - it's over. COMPLETELY.

Wow this was soooooo bad there are no words to decribe it. One liner garbage lines, bad script overall, bad CGI villains, bad LITERALLY everything.

And btw PATRICK STEWART as Professor X is a COMIC MOVIE ICON. And you tried to do to him, what you tried to do to LUKE IN STAR WARS. BUT in the end, the fans are going to do that to you!

I cannot believe I am saying this but I officially dislike Disney and Kevin Feige as of today!"
SAM RAIMI IN THE MULTIVERSE OF MADNESS.,"Sam Raimi brought a new tone to the MCU, and it felt so different and good. It was handled so differently from all the other MCU movies but felt through and through like a really good comic book adaptation. It is so unique, weird, scary, and gory that it's one of the best MCU movies, in my opinion. What I do think could have been better was the run time. It could have given us more time to breathe and process what happened between scenes. But overall, this movie was such an experience!"
the poorest storyline in all marvel movies,"The plot is not convincing at all, very poor, I don't know who approved this poor plot.

There's some good fights and that's all.

And Wanda is tooooo OP.

And the trailer if full of lies."
Entertaining but expected more,
meh - full theater was underwhelmed,"Never a big fan of the comic. This reminded me of the first, OK but I won't buy it. Disney pushed their agenda with one couple in the whole movie, a pair of moms. Extra star for the cameos of the Illuminati (in the preview). It was fine but seemed very long. Only so many ""let's grunt and turn up the magic"" moments before I start to yawn."
Stan Lee we miss you!!,"This film just proves how important was Stan Lee and his ingenious story telling was critical to Marvel.

Marvel just spent millions of dollers to show a dodgeball match between Wanda and the rest of the cast with a Halloween backdrop.

It is no wonder the makers had to rely on over the top VFX as there is absolutely no coherent story to weave.

Money down the drain...dont even watch if someone shows it to you for free...."
Fantastic visuals and captivating story,"This film really has fantastic visual effects. The story is very good too, because it has got touching elements of family and love. The story also contains many surprises, and a few laughs too. I enjoyed this captivating journey right from the beginning to the end."
Avoid at all costs.,"This is probably one of the worst mainstream block-buster movies I've seen in my life (and I've seen a quite a bit). Occult fighting occult, with lot of magic, nonsense, non-logic and non-cheering for anyone (except the girl America Sanchez). By far the worst Marvel movie, after surprisingly excellent Multiverse flick ""Spiderman No Way Home"". Also, a lot of scary/gore/bloody scenes for a 13 year old to watch, this should be R rated. Unlike other Marvel or most action movies that makes you leave theater feeling satisfied, or just cozy, or just neutral, this one will leave you sorry for spent time and money. My 15 year old daughter who went to see it because she likes Marvel, resented herself why she didn't leave the theater during the movie (and I stayed for her sake)."
A New Low,"It seems that each Phase 4 project in the MCU is competing to be the worst project yet! The plot was pushed forward by contrivance after convenience. The characters were stupid when they weren't being self-contradictory. The action was devoid of stakes, as the film makers selectively made up and forgot magic powers to suit the visuals rather than the story. The theme falls flat on its face as the story seems too preoccupied with cameos and side characters to really focus on it. Aside from Elizabeth Olsen's stellar performance as Wanda/Scarlet Witch, there was nothing to enjoy in this film. Just cheap cgi visuals which often seemed undercooked. I can't blame director Sam Raimi, as the credits stated that it was a ""Kevin Feige production."" What happened to the MCU I loved?"
